date,campaign_id,campaign_name,ad_set_id,ad_set_name,impressions,clicks,spend,conversions,video_views,engagement_rate,reach,frequency
01-01-2024,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,45623,892,127.5,12,8234,0.0195,38234,1.19
01-01-2024,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12456,567,215.8,34,1234,0.0455,9876,1.26
01-01-2024,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34567,1234,189.9,23,4567,0.0357,28934,1.19
02-01-2024,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,42345,823,118.2,10,7890,0.0194,36789,1.15
02-01-2024,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13678,623,234.5,38,1456,0.0455,10234,1.34
02-01-2024,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36789,1345,201.3,25,4890,0.0366,30123,1.22
03-01-2024,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48234,967,134.8,14,8901,0.0201,40123,1.2
03-01-2024,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11234,489,198.7,31,1123,0.0435,8901,1.26
03-01-2024,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38901,1456,213.4,28,5234,0.0375,31456,1.24
04-01-2024,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,51234,1023,142.3,15,9234,0.02,42567,1.2
04-01-2024,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14567,678,245.6,42,1567,0.0465,11234,1.3
04-01-2024,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,67890,234,89.5,5,45678,0.0034,56789,1.2
05-01-2024,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,46789,934,131.2,13,8567,0.02,39234,1.19
05-01-2024,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12890,567,220.3,36,1345,0.044,10123,1.27
