date,platform,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,spend,conversions,video_views,ctr,cpc,cpm,cpa,conversion_value,engagement_rate,likes,shares,comments,video_completion_rate
01-01-2024,Facebook,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,45623,892,127.5,12,8234,0.0196,0.1429,2.7946,10.625,,0.0195,,,,
01-01-2024,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12456,567,215.8,34,1234,0.0455,0.3806,17.325,6.3471,,0.0455,,,,
01-01-2024,Facebook,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34567,1234,189.9,23,4567,0.0357,0.1539,5.4937,8.2565,,0.0357,,,,
01-01-2024,Google,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23456,1234,234.5,45,,0.0526,0.19,9.9974,5.2111,2250,,,,,
01-01-2024,Google,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45678,890,567.8,23,,0.0195,0.64,12.4305,24.687,1150,,,,,
01-01-2024,Google,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67890,2345,423.6,67,,0.0345,0.18,6.2395,6.3224,3350,,,,,
01-01-2024,TikTok,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,234567,3456,456.7,34,198234,0.0147,0.1321,1.947,13.4324,,0.0505,8923,2345,567,0.2282
01-01-2024,TikTok,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,123456,2345,678.9,67,89234,0.019,0.2895,5.4991,10.1328,,0.0489,4567,1234,234,0.2629
01-01-2024,TikTok,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,189234,2890,345.6,23,145678,0.0153,0.1196,1.8263,15.0261,,0.0483,6789,1890,456,0.2373
02-01-2024,Facebook,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,42345,823,118.2,10,7890,0.0194,0.1436,2.7914,11.82,,0.0194,,,,
02-01-2024,Facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13678,623,234.5,38,1456,0.0455,0.3764,17.1443,6.1711,,0.0455,,,,
02-01-2024,Facebook,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36789,1345,201.3,25,4890,0.0366,0.1497,5.4717,8.052,,0.0366,,,,
02-01-2024,Google,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24567,1289,245.6,48,,0.0525,0.19,9.9972,5.1167,2400,,,,,
02-01-2024,Google,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43234,823,534.2,21,,0.019,0.65,12.356,25.4381,1050,,,,,
02-01-2024,Google,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,71234,2456,445.8,71,,0.0345,0.18,6.2582,6.2789,3550,,,,,
02-01-2024,TikTok,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,245678,3678,478.9,36,207345,0.015,0.1302,1.9493,13.3028,,0.05,9234,2456,589,0.2278
02-01-2024,TikTok,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,134567,2567,712.3,71,95678,0.0191,0.2775,5.2933,10.0324,,0.0474,4789,1345,245,0.2568
02-01-2024,TikTok,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,198345,3012,361.2,25,152345,0.0152,0.1199,1.8211,14.448,,0.0482,7123,1967,478,0.2378
